PDB ID,Chain
2b9e,A
2iyh,A
1aj0,
1qpn,A
1ynp,A
1to3,A
1j8y,F
1jpj,A
1o4z,A
1hl2,A
1izc,A
2ftp,A
1fcj,A
1hzf,A
1h1n,A
1ghq,A
1pyf,A
2o2z,A
10000000000000000000,A
2hmc,A
2guu,A
1vrd,A
2hbv,A
1hjs,A
1pz1,A
1orr,A
1nvm,A
1mns,
1vli,A
1jpm,A
1f9c,A
1d3g,A
1t64,A
2hs8,A
1tv5,A
1wke,
1hiz,A
2drq,A
2h9a,A
2dw6,A
1tvl,A
1kbj,A
1oya,
1jcn,A
1crz,A
1p22,A
2afa,A
1kcz,A
2j04,B
2biw,A
1bpo,A
1st8,A
1gq1,A
2bzd,A
1fwx,A
1gof,
1kv9,A
1ks8,A
1fo2,A
2nvp,A
1kkt,A
2h6g,B
1kwf,A
1b71,A
2fxa,A
2a61,A
1rj1,A
1jq0,A
1wcr,A
2e2a,A
1gs9,A
1u89,A
1ktm,A
2inp,C
2a6b,A
1x91,A
1orj,A
1sra,
1c07,A
1f8h,A
1oe9,B
1m45,A
1ak4,C
1of9,A
2o5h,A
1wku,A
1m12,A
1umz,A
1ups,A
1q56,A
2fbe,A
1kdk,A
1c4r,A
1b09,A
2h0b,A
1ww4,A
1czy,A
1qgc,4
2gjj,A
1gff,2
2mcm,
1v27,A
1h6y,A
1wwb,X
1a25,A
1cqk,A
2cwr,A
1wgo,A
1v8h,A
1nam,B
1w15,A
2cum,A
2d8k,A
2b3r,A
1v0z,A
2aq5,A
1k8k,C
2d5l,A
1e8t,A
1rwi,B
1lrw,A
1k24,A
2bc3,A
1r0u,A
1g90,A
1amm,
2ilb,A
1c4q,A
2bh8,A
2a4y,A
1x2q,A
2cud,A
1yel,A
1wtp,A
1wif,A
1uhp,A
2d90,A
1d3b,A
1u37,A
1qav,A
1n4k,A
1r1f,A
1pft,
1f05,A
1bf6,A
1zgd,A
1syt,A
1zzm,A
1qwk,A
1w1i,E
1el3,A
1wno,A
1r9x,A
1tv7,A
1hw6,A
2d1z,A
1y65,A
2gjl,A
1f6y,A
2gok,A
2amx,A
1d9e,A
2b4g,A
1bd0,A
2h9a,B
1qw7,A
1exb,A
1qo2,A
2nql,A
2cc0,A
2bgq,A
1xuu,A
1lrt,A
1mzh,A
7odc,A
1vbj,A
2j66,A
1vhn,A
1ujp,A
2b7n,A
2dua,A
1w37,A
1xge,A
1dvj,A
1og6,A
1m6j,A
1bxb,A
1vjc,A
2ie8,A
2cun,A
1r9l,A
1sw2,A
1amf,
2o1m,A
1atg,
2i48,A
1us4,A
2hxr,A
2gg0,A
2a8m,A
1alq,
1puj,A
1htw,A
1rz3,A
1qge,D
1cp7,A
1vee,A
1j2t,A
1qhf,A
1eiz,A
1lss,A
1wy7,A
1odf,A
1wg8,A
1qyr,A
2o05,A
1xcj,A
1ne2,A
1jsx,A
2bm8,A
2fca,A
2ift,A
1wzn,A
1ve3,A
1kpi,A
1ri1,A
1xxl,A
1im8,A
1d2g,A
2o57,A
1vl5,A
2ex4,A
2i9k,A
1xdz,A
1y8c,A
2h00,A
2nwq,A
2i6g,A
1sov,A
1sev,A
1s8n,A
1l5y,A
1veu,B
1j3w,A
1o94,C
1i0l,A
1spx,A
2a4k,A
1sko,A
1d1z,A
2g1u,A
1zca,A
1xse,A
1fy2,A
2gel,A
1hdr,
1h5q,A
1ae1,A
1fdw,
1ybv,A
1u14,A
1t9g,R
1ydg,A
1b1a,
2gxq,A
1p5j,A
1rlk,A
1nsf,
1pdo,
1njr,A
1gco,A
2d13,A
1rtt,A
1f75,A
1r1d,A
1bw9,A
1wpn,A
1ydh,A
1r2k,B
1a3c,
1ws6,A
1j7j,A
1hgx,A
1eke,A
1byr,A
1i3z,A
1h4y,A
1pv1,A
1jjf,A
1va5,A
1lzk,A
1jji,A
1y80,A
1wd5,A
2fuk,A
2h58,A
2a2l,A
1jo0,A
1iqz,A
1jnr,B
1frk,
2il5,A
1icx,A
2b79,A
1y13,A
1ufl,A
2cxc,A
1cbk,A
1kaf,A
1kr4,A
2f1f,A
1pch,
1ru0,A
2dcl,A
1ys3,A
1id0,A
1o22,A
1lxn,A
1lxj,A
2id1,A
1b4s,A
1s1h,K
1x92,A
2hv2,A
2i00,A
1mow,A
